device,sub_district,district,province,timestamp,temperature,humidity
AA180277,Sala Klang,Bang Kruai,Nonthaburi,2022-12-02,42.0879446640316,99.8313208168643
AA180277,Sala Klang,Bang Kruai,Nonthaburi,2022-12-03,47.9231887626263,99.9442840909091
AA180277,Sala Klang,Bang Kruai,Nonthaburi,2022-12-04,46.5052613636364,99.9167291666667
AA180277,Sala Klang,Bang Kruai,Nonthaburi,2022-12-05,46.6791508838384,99.9127904040404
