timestamp,device,temperature,humidity
2022-12-02,AA180186,655.4,654.825610766046
2022-12-02,AA180208,655.4,654.870051759834
2022-12-02,AA180283,655.4,654.873198757764
2022-12-02,AA180293,391.296601731602,422.63038961039
2022-12-02,AA180310,118.039782608696,181.673043478261
2022-12-02,AA180324,655.4,654.867556935818
2022-12-02,AA180440,655.4,654.860186335404
2022-12-02,AA180511,48.4775793650794,119.278015873016
2022-12-02,AA180529,655.4,654.891501035197
2022-12-02,AA180547,655.4,654.786376811594
2022-12-02,AA180567,339.150724637681,364.782463768116
2022-12-02,AA180594,559.766666666667,570.327753623188
2022-12-02,AA180717,446.303291925466,469.869875776398
2022-12-02,AA181240,655.4,654.84347826087
2022-12-02,AA181285,40.7392546583851,102.708695652174
2022-12-02,AA181472,655.4,654.889855072464
2022-12-02,AA181778,149.566956521739,198.213623188406
2022-12-02,AA181785,106.740766045549,165.574109730849
2022-12-02,AA182010,492.400138888889,509.985141304348
2022-12-02,AA182064,655.4,654.874285714286
2022-12-02,AA182066,655.4,654.880351966874
2022-12-02,AA182208,655.4,654.859896480331
2022-12-02,AA182285,47.4159627329193,109.080983436853
2022-12-02,AA182646,394.922864593136,424.086581968756
2022-12-02,AA182899,615.917391304348,617.983517080745
2022-12-02,AA183010,655.4,654.923561076605
2022-12-02,AA183036,655.4,654.923561076605
2022-12-02,AA183090,40.4093452380952,105.59503968254
2022-12-02,AA183161,441.758333333333,465.65
2022-12-02,AA183196,326.309565217391,365.114585921325
2022-12-02,AA183216,655.4,654.847080745342
2022-12-02,AA183225,655.4,654.853685300207
2022-12-02,AA183343,467.370289855072,142.321128364389
2022-12-02,AA183348,655.4,654.851977225673
2022-12-02,AA183378,514.786444664032,395.220312158856
2022-12-02,AA183381,350.828830227743,250.378944099379
2022-12-02,AA183470,655.4,654.888881987578
2022-12-02,AA183493,655.4,654.888881987578
2022-12-02,AA183541,655.4,654.846449275362
2022-12-02,AA183622,205.936363636364,242.953787878788
2022-12-02,AA183625,655.4,654.873126293996
2022-12-02,AA183628,347.640062111801,383.412898550725
