,price,bedroom,bathroom,sqm,developer,built_year,district,luxuary,public,BRT_distance,BTS_distance,MRT_distance,APL_distance,feature
2189,90000000,2,3,151,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2018,Khlong San,0,0,no,330,no,no,"['cook', 'DVD Player', 'Washing Machine', 'Audio System', 'Bed', 'Water Heater', 'furniture', 'tv', 'High Floor', 'Fridge', 'view', 'balcony', 'Renovated', 'Air-Conditioning']"
2190,40000000,4,4,273,no,1999,Khlong San,0,0,no,410,no,no,"['pool', 'security', 'fitness']"
2191,13000000,2,1,97,no,1994,Khlong San,1,2,no,360,no,no,"['pool', 'sauna', 'Library', 'security', 'fitness', 'Playground']"
2192,4500000,1,1,39,Quality Houses - ควอลิตี้ เฮ้าส์ จำกัด (มหาชน),2009,Khlong San,0,0,no,110,no,no,"['cook', 'Water Heater', 'Bed', 'tv', 'furniture', 'Fridge', 'Air-Conditioning']"
2193,12300000,2,2,140,no,2014,Khlong San,0,0,no,920,no,no,"['Private Garden', 'Air-Conditioning']"
2194,26150000,2,2,102.72,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,no,240,no,no,"['pool', 'security', 'car park', 'fitness']"
2195,3490000,0,1,27.11,Ananda Development - อนันดา ดีเวลลอปเม้นท์ จํากัด (มหาชน),2020,Khlong San,0,0,no,280,no,no,"['cook', 'Bed', 'furniture', 'High Floor', 'balcony', 'Renovated', 'Air-Conditioning']"
2196,11750000,1,1,56,Raimon Land - ไรมอน แลนด์ จำกัด (มหาชน),2012,Khlong San,0,0,no,520,no,no,"['pool', 'security', 'fitness']"
2197,5200000,1,1,33,Sansiri - แสนสิริ จำกัด (มหาชน),2015,Khlong San,0,2,no,330,no,no,"['Function room', 'pool', 'Library', 'security', 'fitness']"
2198,82000000,2,2,165,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2018,Khlong San,4,7,no,no,no,no,"['Club', 'pool', 'Mini-Mart', 'BBQ pits', 'Mini golf range', 'fitness', 'sauna', 'Library', 'security', 'Lounge', 'Jacuzzi', 'Playground', 'Game room']"
2199,22230000,1,1,60.55,The Icon Siam Superlux Residence - ดิ ไอคอนสยาม ซูเปอร์ลักซ์ เรสซิเดนซ์ คอร์ปอเรชั่น จำกัด,2017,Khlong San,0,0,no,240,no,no,"['pool', 'security', 'car park', 'fitness']"
2200,2290000,0,1,24,no,2017,Khlong San,0,0,no,190,no,no,"['Water Heater', 'High Floor', 'balcony', 'Renovated', 'Air-Conditioning']"
