,price
2505,56000000
1628,14500000
12,12000000
2413,8500000
1446,10500000
626,6500000
5078,2850000
4746,5700000
4053,13500000
6181,5900000
4822,2400000
6282,2500000
4994,1750000
1074,2900000
884,59000000
1455,40000000
2060,7520000
2411,8900000
7105,15500000
7572,3700000
839,11350000
7571,6200000
6431,9700000
6374,4850000
1274,3620000
5907,4690000
2054,23750000
6446,12000000
1802,8200000
911,16500000
104,8000000
1854,5500000
1771,18000000
1402,7000000
4521,12800000
2283,18900000
4996,12500000
2645,6300000
1326,5050000
6411,2890000
3910,78000000
537,6600000
2406,11700000
4801,3069600
2478,14130000
2316,75000000
6203,18500000
5894,10300000
5009,7900
5948,5000000
5577,5700000
5120,3400000
3392,5650000
2348,9500000
4778,1800000
2805,4500000
5993,8100000
4375,18900000
2720,16900000
160,11200000
4603,3950000
6144,1650000
3059,6590000
6954,19800000
2888,4300000
1189,3500000
226,8830000
7093,8500000
7671,5562000
717,4550000
3637,23000000
2157,9800000
2168,13500000
6444,43000000
4634,4200000
1304,7900000
166,3767165
4543,3100000
6353,17370000
5624,3450000
4855,1890000
406,7800000
5911,3490000
5497,11500000
5657,4400000
5960,34000000
6935,21400000
1679,8100000
3092,1450000
4046,15533980
1047,58800000
4268,98945000
1200,3950000
4594,2690000
1558,17500000
2464,13000000
7533,5200000
6010,2950000
1495,9000000
3035,2090000
3299,1350000
2935,1600000
5234,4790000
4856,2890000
6159,2850000
2193,12300000
5200,3990000
7558,5300000
1797,110000000
37,29000000
1358,3150000
933,90000000
3780,49900000
5598,4900000
3327,2680000
4922,2890000
3011,4900000
3886,22000000
2540,92224893
1242,3990000
6383,25000000
330,2290000
11,13500000
6469,22000000
2291,24450000
17,7500000
5547,45000
2202,3552610
2582,3300000
5410,20500000
7400,12000000
4960,1990000
4463,2980000
7160,40000000
3119,1960000
2734,21500000
6653,8230000
1368,2600000
3789,65000000
1286,4600000
604,3590000
19,4800000
848,65000000
1454,6920000
3107,4790000
6569,8500000
3512,68000000
4110,19500000
816,14500000
5049,2490000
4071,38000
7552,3750000
6834,7200000
2878,4600000
3538,6800000
7023,17000000
7336,11300000
512,14950000
5151,9000000
5368,7900000
3072,11890000
2616,4500000
4490,2450000
2312,3850000
1148,4650000
2294,12600000
5639,20085000
7613,4050000
3136,2100000
998,12000000
3494,16500000
3954,40000000
4799,1970000
2268,9900000
7066,3800000
2360,11550000
5492,11000000
1283,8990000
332,7450000
2122,11110000
86,5900000
3583,14800000
1731,105000000
1807,23300000
90,10500000
4953,4480000
5648,13200000
6432,7500000
5011,22000000
497,12900000
7398,4500000
158,8420000
5122,4500000
3702,8780000
7191,8200000
7704,5350000
1922,12260000
5609,2900000
2233,17900000
6445,14900000
1097,4800000
234,8490000
5359,7600000
6887,51000000
6676,18500000
2449,42000000
6634,4500000
5872,5500000
6545,12899000
7271,2490000
6140,63000000
963,12720000
1320,5200000
815,7400000
3,9900000
235,8500000
1549,11500000
1479,7790000
5348,6200000
2796,5990000
4975,1500000
2427,22900000
1056,6510000
6705,17900000
6387,9400000
1017,14880000
6246,2790000
4399,10701000
1168,4610000
6962,8300000
7227,8500000
5260,5690000
4809,30000000
7436,20187100
1471,7480000
5745,4750000
671,3662793
6990,14000000
973,7790000
1620,10900000
3228,9330000
6389,4900000
4800,15000000
2084,15200000
6951,7880000
2899,4650000
1012,32960000
5563,10200000
5793,8500000
1092,3200000
5668,14000000
6045,12640000
5258,11000000
3223,4120000
4595,6000000
1974,11500000
3343,2390000
5943,39900000
405,6330000
1708,10100000
275,4900000
3220,7980000
3256,2500000
574,3090000
3892,22000000
1699,8200000
5495,19500000
6141,2360000
1806,13500000
